saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,sport,dport,seqnum,acknum,window,success,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
190.199.75.133,2236336062,192.168.1.64,1073850560,0,42,synack,443,46660,1101325016,2242936836,5840,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627283
195.221.170.197,3316309443,192.168.1.64,1073850560,0,45,synack,443,36253,1679332153,2416424472,14600,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627342
23.203.236.192,3236743959,192.168.1.64,1073850560,0,49,synack,443,42508,409123662,3662876098,29200,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627383
181.200.49.232,3895576757,192.168.1.64,1073850560,54321,111,synack,443,33074,257316276,3917815269,0,1,0,0,2019-01-09T17:24:59.627+0300,1547043899,627425
121.18.124.126,2122060409,192.168.1.64,1073850560,28735,237,synack,443,60875,433395298,3022737069,64512,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649154
88.85.72.6,105403736,192.168.1.64,1073850560,0,52,synack,443,59016,3345467080,999526974,14600,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649373
23.207.56.18,305712919,192.168.1.64,1073850560,0,49,synack,443,43706,1620231835,345933526,29200,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649434
111.113.3.205,3439554927,192.168.1.64,1073850560,58944,237,synack,443,50957,3464955369,1311655647,65535,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649488
13.75.212.90,1523862285,192.168.1.64,1073850560,0,37,synack,443,49411,3261371824,2963108129,29200,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649602
172.10.138.153,2575960748,192.168.1.64,1073850560,0,47,synack,443,50150,154354644,70030993,5840,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649709
69.150.97.56,945919557,192.168.1.64,1073850560,0,47,synack,443,51232,3271831245,3229506576,5840,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649782
54.226.104.193,3244876342,192.168.1.64,1073850560,0,236,synack,443,34617,156189644,3984052145,29200,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649826
216.218.172.246,4138523352,192.168.1.64,1073850560,0,49,synack,443,41450,4172466645,4281719158,14600,1,0,0,2019-01-09T17:25:00.649+0300,1547043900,649962
